event_id,start_row,end_row,hand,label
1,1,1,LEFT,NO_PUNCH
2,1,1,RIGHT,NO_PUNCH
3,112,112,LEFT,LEFT_PUNCH
4,337,337,RIGHT,RIGHT_PUNCH
5,578,578,LEFT,LEFT_PUNCH
6,721,721,LEFT,LEFT_PUNCH
7,778,778,LEFT,LEFT_PUNCH
8,913,913,RIGHT,RIGHT_PUNCH
9,1009,1009,RIGHT,RIGHT_PUNCH
10,1082,1082,LEFT,LEFT_PUNCH
11,1123,1123,RIGHT,RIGHT_PUNCH
12,1193,1193,RIGHT,NO_PUNCH
13,1624,1624,LEFT,RIGHT_PUNCH
14,1640,1640,RIGHT,RIGHT_PUNCH
15,1685,1685,RIGHT,LEFT_PUNCH
16,1878,1878,LEFT,LEFT_PUNCH
17,2289,2289,RIGHT,RIGHT_PUNCH
18,2489,2489,LEFT,LEFT_PUNCH
19,2552,2552,RIGHT,RIGHT_PUNCH
20,2645,2645,RIGHT,RIGHT_PUNCH
21,2715,2715,LEFT,LEFT_PUNCH
22,2831,2831,RIGHT,RIGHT_PUNCH
23,2988,2988,RIGHT,NO_PUNCH
24,3036,3036,RIGHT,NO_PUNCH
25,3085,3085,RIGHT,NO_PUNCH
26,3135,3135,RIGHT,NO_PUNCH
27,3182,3182,RIGHT,NO_PUNCH
28,3252,3252,RIGHT,NO_PUNCH
29,3317,3317,RIGHT,RIGHT_PUNCH
