event_id,start_row,end_row,hand,label
1,1,1,LEFT,NO_PUNCH
2,1,1,RIGHT,NO_PUNCH
3,299,299,RIGHT,NO_PUNCH
4,319,319,RIGHT,NO_PUNCH
5,440,440,RIGHT,NO_PUNCH
6,512,512,RIGHT,PUNCH
7,529,529,LEFT,PUNCH
8,610,610,RIGHT,PUNCH
9,626,626,LEFT,PUNCH
10,629,629,RIGHT,PUNCH
11,650,650,LEFT,PUNCH
12,827,827,RIGHT,PUNCH
13,844,844,LEFT,PUNCH
14,850,850,RIGHT,PUNCH
15,869,869,LEFT,PUNCH
16,1224,1224,RIGHT,PUNCH
17,1341,1341,RIGHT,NO_PUNCH
18,1368,1368,RIGHT,NO_PUNCH
19,1537,1537,RIGHT,NO_PUNCH
20,1709,1709,RIGHT,PUNCH
21,1816,1816,LEFT,PUNCH
22,1828,1828,RIGHT,NO_PUNCH
23,1874,1874,RIGHT,NO_PUNCH
24,1946,1946,RIGHT,NO_PUNCH
25,2111,2111,RIGHT,NO_PUNCH
26,2133,2133,LEFT,NO_PUNCH
27,2327,2327,LEFT,PUNCH
28,2459,2459,RIGHT,NO_PUNCH
29,2606,2606,RIGHT,NO_PUNCH
30,2627,2627,RIGHT,NO_PUNCH
31,2792,2792,RIGHT,NO_PUNCH
32,2809,2809,RIGHT,NO_PUNCH
33,2818,2818,LEFT,PUNCH
34,3119,3119,LEFT,PUNCH
35,3258,3258,RIGHT,NO_PUNCH
36,3267,3267,LEFT,PUNCH
37,3474,3474,RIGHT,NO_PUNCH
38,3484,3484,LEFT,PUNCH
39,3639,3639,RIGHT,NO_PUNCH
40,3663,3663,RIGHT,NO_PUNCH
41,3681,3681,RIGHT,NO_PUNCH
