event_id,start_row,end_row,hand,label
1,1,1,LEFT,NO_PUNCH
2,1,1,RIGHT,NO_PUNCH
3,408,408,RIGHT,PUNCH
4,421,421,LEFT,PUNCH
5,534,534,LEFT,PUNCH
6,549,549,RIGHT,PUNCH
7,713,713,RIGHT,PUNCH
8,736,736,LEFT,PUNCH
9,905,905,RIGHT,NO_PUNCH
10,940,940,RIGHT,NO_PUNCH
11,997,997,RIGHT,NO_PUNCH
12,1386,1386,RIGHT,NO_PUNCH
13,1580,1580,RIGHT,NO_PUNCH
14,1718,1718,RIGHT,NO_PUNCH
15,1930,1930,LEFT,PUNCH
16,2111,2111,LEFT,PUNCH
17,2117,2117,RIGHT,PUNCH
18,2366,2366,LEFT,PUNCH
19,2466,2466,RIGHT,PUNCH
20,2472,2472,LEFT,PUNCH
21,2489,2489,RIGHT,PUNCH
22,2502,2502,LEFT,PUNCH
23,2516,2516,RIGHT,NO_PUNCH
24,2733,2733,RIGHT,NO_PUNCH
25,2948,2948,RIGHT,PUNCH
26,2975,2975,RIGHT,PUNCH
27,3035,3035,LEFT,PUNCH
28,3067,3067,LEFT,PUNCH
29,3347,3347,LEFT,PUNCH
30,3358,3358,RIGHT,PUNCH
31,3381,3381,LEFT,PUNCH
32,3387,3387,RIGHT,PUNCH
33,3422,3422,LEFT,PUNCH
34,3443,3443,RIGHT,PUNCH
35,3740,3740,RIGHT,PUNCH
36,3755,3755,LEFT,PUNCH
37,3767,3767,RIGHT,PUNCH
38,3787,3787,LEFT,PUNCH
39,3817,3817,RIGHT,PUNCH
40,4139,4139,RIGHT,PUNCH
41,4163,4163,LEFT,PUNCH
42,4407,4407,RIGHT,PUNCH
43,4492,4492,RIGHT,PUNCH
44,4538,4538,LEFT,PUNCH
45,4586,4586,LEFT,PUNCH
46,4617,4617,LEFT,PUNCH
47,4976,4976,RIGHT,NO_PUNCH
48,5032,5032,RIGHT,NO_PUNCH
49,5168,5168,RIGHT,NO_PUNCH
50,5206,5206,RIGHT,NO_PUNCH
51,5345,5345,RIGHT,NO_PUNCH
52,5534,5534,RIGHT,NO_PUNCH
53,5551,5551,LEFT,NO_PUNCH
54,5565,5565,RIGHT,NO_PUNCH
55,5996,5996,RIGHT,NO_PUNCH
56,6143,6143,RIGHT,NO_PUNCH
57,6213,6213,RIGHT,NO_PUNCH
58,6384,6384,LEFT,PUNCH
59,6413,6413,LEFT,PUNCH
60,6413,6413,RIGHT,NO_PUNCH
61,6460,6460,LEFT,PUNCH
62,6855,6855,RIGHT,NO_PUNCH
63,7029,7029,LEFT,PUNCH
64,7192,7192,LEFT,PUNCH
65,7204,7204,RIGHT,PUNCH
66,7219,7219,LEFT,PUNCH
67,7400,7400,RIGHT,NO_PUNCH
68,7430,7430,LEFT,PUNCH
69,7656,7656,RIGHT,NO_PUNCH
70,7791,7791,RIGHT,PUNCH
71,7825,7825,RIGHT,PUNCH
72,7842,7842,LEFT,PUNCH
73,7858,7858,RIGHT,PUNCH
74,7952,7952,LEFT,PUNCH
75,7955,7955,RIGHT,PUNCH
76,7960,7960,LEFT,PUNCH
77,7964,7964,RIGHT,PUNCH
78,8043,8043,RIGHT,NO_PUNCH
79,8080,8080,RIGHT,NO_PUNCH
80,8115,8115,RIGHT,NO_PUNCH
81,8160,8160,LEFT,PUNCH
82,8163,8163,RIGHT,PUNCH
83,8176,8176,RIGHT,NO_PUNCH
