event_id,start_row,end_row,hand,label
1,430,430,RIGHT,PUNCH
2,941,941,LEFT,PUNCH
3,1069,1069,RIGHT,PUNCH
4,1071,1071,LEFT,PUNCH
5,1291,1291,LEFT,PUNCH
6,1585,1585,RIGHT,NO_PUNCH
7,1782,1782,RIGHT,NO_PUNCH
8,2064,2064,RIGHT,NO_PUNCH
9,2088,2088,RIGHT,NO_PUNCH
10,2504,2504,RIGHT,NO_PUNCH
11,2670,2670,RIGHT,PUNCH
12,2763,2763,RIGHT,PUNCH
13,2779,2779,LEFT,PUNCH
14,2942,2942,LEFT,PUNCH
15,3082,3082,RIGHT,PUNCH
16,3183,3183,RIGHT,PUNCH
17,3282,3282,LEFT,PUNCH
18,3373,3373,RIGHT,PUNCH
19,3385,3385,LEFT,PUNCH
20,3527,3527,RIGHT,PUNCH
21,3540,3540,LEFT,PUNCH
22,3702,3702,RIGHT,PUNCH
23,3849,3849,LEFT,PUNCH
24,3978,3978,RIGHT,PUNCH
25,3982,3982,LEFT,PUNCH
26,4233,4233,RIGHT,PUNCH
27,4240,4240,LEFT,PUNCH
28,4538,4538,RIGHT,PUNCH
29,4642,4642,LEFT,PUNCH
30,4817,4817,RIGHT,PUNCH
31,4931,4931,LEFT,PUNCH
32,5003,5003,RIGHT,NO_PUNCH
33,5225,5225,RIGHT,NO_PUNCH
34,5489,5489,RIGHT,NO_PUNCH
35,5555,5555,RIGHT,NO_PUNCH
36,5714,5714,RIGHT,NO_PUNCH
37,5913,5913,RIGHT,PUNCH
38,5942,5942,RIGHT,PUNCH
39,6001,6001,RIGHT,NO_PUNCH
40,6357,6357,RIGHT,NO_PUNCH
41,6504,6504,RIGHT,NO_PUNCH
42,6675,6675,RIGHT,NO_PUNCH
43,6836,6836,RIGHT,NO_PUNCH
44,7041,7041,RIGHT,NO_PUNCH
45,7197,7197,LEFT,PUNCH
46,7200,7200,RIGHT,PUNCH
47,7470,7470,RIGHT,NO_PUNCH
48,7615,7615,RIGHT,NO_PUNCH
