event_id,start_row,end_row,hand,label
1,1,1,RIGHT,NO_PUNCH
2,231,231,LEFT,LEFT_PUNCH
3,518,518,LEFT,LEFT_PUNCH
4,547,547,LEFT,LEFT_PUNCH
5,584,584,RIGHT,NO_PUNCH
6,605,605,RIGHT,NO_PUNCH
7,658,658,RIGHT,NO_PUNCH
8,685,685,RIGHT,NO_PUNCH
9,721,721,RIGHT,NO_PUNCH
10,742,742,RIGHT,NO_PUNCH
11,764,764,RIGHT,NO_PUNCH
12,796,796,RIGHT,NO_PUNCH
13,818,818,RIGHT,NO_PUNCH
14,891,891,RIGHT,RIGHT_PUNCH
15,1037,1037,RIGHT,RIGHT_PUNCH
16,1124,1124,LEFT,LEFT_PUNCH
17,1337,1337,RIGHT,NO_PUNCH
18,1483,1483,RIGHT,NO_PUNCH
19,1549,1549,RIGHT,NO_PUNCH
20,1593,1593,RIGHT,NO_PUNCH
21,1635,1635,RIGHT,NO_PUNCH
22,1672,1672,RIGHT,NO_PUNCH
23,1714,1714,RIGHT,NO_PUNCH
24,1766,1766,RIGHT,NO_PUNCH
25,1817,1817,RIGHT,NO_PUNCH
26,1863,1863,RIGHT,NO_PUNCH
27,1912,1912,RIGHT,NO_PUNCH
28,1957,1957,RIGHT,NO_PUNCH
29,2001,2001,RIGHT,NO_PUNCH
30,2043,2043,RIGHT,NO_PUNCH
31,2120,2120,RIGHT,NO_PUNCH
32,2190,2190,RIGHT,NO_PUNCH
33,2382,2382,RIGHT,NO_PUNCH
34,2474,2474,RIGHT,NO_PUNCH
35,2528,2528,RIGHT,NO_PUNCH
36,2578,2578,RIGHT,NO_PUNCH
37,2624,2624,RIGHT,NO_PUNCH
38,2794,2794,RIGHT,RIGHT_PUNCH
39,2920,2920,RIGHT,NO_PUNCH
40,2974,2974,RIGHT,NO_PUNCH
41,3060,3060,RIGHT,NO_PUNCH
42,3082,3082,RIGHT,NO_PUNCH
43,3176,3176,RIGHT,NO_PUNCH
44,3202,3202,RIGHT,NO_PUNCH
45,3268,3268,RIGHT,NO_PUNCH
46,3317,3317,RIGHT,NO_PUNCH
47,3392,3392,RIGHT,NO_PUNCH
48,3422,3422,RIGHT,NO_PUNCH
49,3464,3464,RIGHT,NO_PUNCH
50,3509,3509,RIGHT,NO_PUNCH
51,3546,3546,RIGHT,NO_PUNCH
52,3572,3572,RIGHT,NO_PUNCH
53,3592,3592,RIGHT,NO_PUNCH
54,3629,3629,RIGHT,NO_PUNCH
55,3676,3676,RIGHT,NO_PUNCH
56,3766,3766,RIGHT,RIGHT_PUNCH
57,3800,3800,RIGHT,NO_PUNCH
58,3850,3850,RIGHT,NO_PUNCH
59,3946,3946,RIGHT,RIGHT_PUNCH
60,3972,3972,RIGHT,NO_PUNCH
61,4124,4124,RIGHT,RIGHT_PUNCH
62,4190,4190,RIGHT,NO_PUNCH
63,4215,4215,LEFT,LEFT_PUNCH
64,4325,4325,RIGHT,RIGHT_PUNCH
65,4391,4391,RIGHT,NO_PUNCH
66,4421,4421,RIGHT,RIGHT_PUNCH
67,4506,4506,RIGHT,NO_PUNCH
68,4519,4519,RIGHT,NO_PUNCH
69,4544,4544,RIGHT,NO_PUNCH
70,4725,4725,RIGHT,NO_PUNCH
71,4747,4747,RIGHT,NO_PUNCH
72,4888,4888,RIGHT,NO_PUNCH
73,4920,4920,RIGHT,NO_PUNCH
74,4953,4953,RIGHT,NO_PUNCH
75,5006,5006,RIGHT,NO_PUNCH
76,5062,5062,RIGHT,NO_PUNCH
77,5095,5095,RIGHT,NO_PUNCH
78,5125,5125,RIGHT,NO_PUNCH
79,5149,5149,RIGHT,NO_PUNCH
80,5190,5190,RIGHT,NO_PUNCH
81,5257,5257,RIGHT,NO_PUNCH
82,5304,5304,RIGHT,NO_PUNCH
83,5427,5427,RIGHT,NO_PUNCH
84,5455,5455,RIGHT,RIGHT_PUNCH
85,5545,5545,RIGHT,NO_PUNCH
86,5610,5610,RIGHT,NO_PUNCH
87,5673,5673,RIGHT,NO_PUNCH
88,5703,5703,LEFT,LEFT_PUNCH
89,5814,5814,RIGHT,NO_PUNCH
90,5833,5833,RIGHT,NO_PUNCH
91,5854,5854,RIGHT,NO_PUNCH
92,5874,5874,RIGHT,NO_PUNCH
93,5888,5888,RIGHT,NO_PUNCH
94,6055,6055,RIGHT,RIGHT_PUNCH
95,6133,6133,RIGHT,RIGHT_PUNCH
96,6174,6174,RIGHT,RIGHT_PUNCH
97,6245,6245,RIGHT,RIGHT_PUNCH
98,6293,6293,RIGHT,RIGHT_PUNCH
99,6335,6335,RIGHT,RIGHT_PUNCH
100,6386,6386,RIGHT,RIGHT_PUNCH
101,6421,6421,RIGHT,RIGHT_PUNCH
102,6480,6480,RIGHT,RIGHT_PUNCH
103,6514,6514,RIGHT,RIGHT_PUNCH
104,6593,6593,LEFT,LEFT_PUNCH
105,6676,6676,LEFT,LEFT_PUNCH
106,6773,6773,RIGHT,RIGHT_PUNCH
107,6847,6847,RIGHT,RIGHT_PUNCH
108,6922,6922,RIGHT,RIGHT_PUNCH
109,6974,6974,RIGHT,RIGHT_PUNCH
110,7078,7078,LEFT,LEFT_PUNCH
111,7245,7245,LEFT,LEFT_PUNCH
112,7309,7309,RIGHT,LEFT_PUNCH
113,7375,7375,LEFT,LEFT_PUNCH
114,7433,7433,LEFT,LEFT_PUNCH
