event_id,start_row,end_row,hand,label
1,1,1,LEFT,NO_PUNCH
2,1,1,RIGHT,NO_PUNCH
3,612,612,RIGHT,NO_PUNCH
4,807,807,RIGHT,NO_PUNCH
5,938,938,RIGHT,NO_PUNCH
6,1099,1099,RIGHT,NO_PUNCH
7,1121,1121,RIGHT,NO_PUNCH
8,1147,1147,RIGHT,NO_PUNCH
9,1281,1281,RIGHT,NO_PUNCH
10,1301,1301,RIGHT,NO_PUNCH
11,1652,1652,RIGHT,NO_PUNCH
12,1951,1951,RIGHT,NO_PUNCH
13,2096,2096,RIGHT,PUNCH
14,2237,2237,RIGHT,PUNCH
15,2249,2249,LEFT,PUNCH
16,2259,2259,RIGHT,PUNCH
17,2518,2518,RIGHT,PUNCH
18,2544,2544,RIGHT,PUNCH
19,2545,2545,LEFT,PUNCH
20,2759,2759,RIGHT,NO_PUNCH
21,2790,2790,RIGHT,NO_PUNCH
22,2974,2974,RIGHT,NO_PUNCH
23,3009,3009,RIGHT,NO_PUNCH
24,3043,3043,RIGHT,NO_PUNCH
25,3093,3093,RIGHT,NO_PUNCH
26,3130,3130,RIGHT,NO_PUNCH
27,3139,3139,LEFT,NO_PUNCH
28,3145,3145,RIGHT,NO_PUNCH
29,3164,3164,RIGHT,NO_PUNCH
30,3182,3182,LEFT,NO_PUNCH
31,3183,3183,RIGHT,NO_PUNCH
32,3210,3210,RIGHT,NO_PUNCH
33,3227,3227,LEFT,NO_PUNCH
34,3253,3253,RIGHT,NO_PUNCH
35,4175,4175,RIGHT,PUNCH
36,4190,4190,LEFT,PUNCH
37,4194,4194,RIGHT,PUNCH
38,4218,4218,LEFT,PUNCH
39,4805,4805,RIGHT,PUNCH
40,5013,5013,RIGHT,PUNCH
41,5057,5057,LEFT,PUNCH
42,5282,5282,RIGHT,PUNCH
43,5298,5298,LEFT,PUNCH
44,5373,5373,RIGHT,PUNCH
45,5555,5555,RIGHT,PUNCH
46,5580,5580,LEFT,PUNCH
47,5586,5586,RIGHT,PUNCH
48,5614,5614,LEFT,PUNCH
49,5614,5614,RIGHT,PUNCH
50,5644,5644,LEFT,PUNCH
51,6235,6235,RIGHT,NO_PUNCH
52,6262,6262,RIGHT,NO_PUNCH
53,6277,6277,LEFT,NO_PUNCH
54,6283,6283,RIGHT,NO_PUNCH
55,6302,6302,RIGHT,NO_PUNCH
56,6307,6307,LEFT,NO_PUNCH
57,6319,6319,RIGHT,NO_PUNCH
58,6339,6339,RIGHT,NO_PUNCH
59,6350,6350,LEFT,NO_PUNCH
60,6356,6356,RIGHT,NO_PUNCH
61,6373,6373,LEFT,NO_PUNCH
62,6373,6373,RIGHT,NO_PUNCH
63,6376,6376,RIGHT,NO_PUNCH
64,6381,6381,RIGHT,NO_PUNCH
65,6384,6384,LEFT,NO_PUNCH
66,6388,6388,RIGHT,NO_PUNCH
67,6392,6392,RIGHT,NO_PUNCH
68,6404,6404,RIGHT,NO_PUNCH
69,6409,6409,RIGHT,NO_PUNCH
70,6416,6416,RIGHT,NO_PUNCH
71,6424,6424,RIGHT,NO_PUNCH
72,6439,6439,RIGHT,NO_PUNCH
73,6469,6469,RIGHT,PUNCH
74,7129,7129,RIGHT,PUNCH
75,7143,7143,LEFT,PUNCH
76,7143,7143,RIGHT,PUNCH
77,7159,7159,LEFT,PUNCH
78,7294,7294,RIGHT,NO_PUNCH
79,7311,7311,LEFT,NO_PUNCH
80,7458,7458,RIGHT,NO_PUNCH
81,7504,7504,RIGHT,NO_PUNCH
82,7599,7599,RIGHT,NO_PUNCH
83,7690,7690,RIGHT,NO_PUNCH
84,7741,7741,RIGHT,NO_PUNCH
85,8147,8147,LEFT,NO_PUNCH
86,8172,8172,LEFT,NO_PUNCH
