event_id,start_row,end_row,hand,label
1,1,1,LEFT,NO_PUNCH
2,747,747,LEFT,PUNCH
3,982,982,RIGHT,NO_PUNCH
4,1329,1329,RIGHT,PUNCH
5,1362,1362,RIGHT,PUNCH
6,1445,1445,RIGHT,PUNCH
7,1455,1455,LEFT,PUNCH
8,1460,1460,RIGHT,PUNCH
9,1466,1466,LEFT,PUNCH
10,1637,1637,RIGHT,NO_PUNCH
11,1725,1725,RIGHT,NO_PUNCH
12,1736,1736,RIGHT,NO_PUNCH
13,1773,1773,RIGHT,NO_PUNCH
14,1782,1782,LEFT,NO_PUNCH
15,1789,1789,RIGHT,NO_PUNCH
16,1798,1798,LEFT,NO_PUNCH
17,1806,1806,RIGHT,NO_PUNCH
18,2005,2005,RIGHT,NO_PUNCH
19,2130,2130,RIGHT,NO_PUNCH
20,2143,2143,RIGHT,NO_PUNCH
21,2253,2253,RIGHT,NO_PUNCH
22,2364,2364,RIGHT,NO_PUNCH
23,2382,2382,RIGHT,NO_PUNCH
24,2473,2473,RIGHT,NO_PUNCH
25,2586,2586,LEFT,NO_PUNCH
26,2591,2591,RIGHT,NO_PUNCH
