event_id,start_row,end_row,hand,label
1,230,230,LEFT,PUNCH
2,931,931,LEFT,NO_PUNCH
3,1109,1109,RIGHT,NO_PUNCH
4,1295,1295,RIGHT,PUNCH
5,1323,1323,LEFT,PUNCH
6,1332,1332,RIGHT,PUNCH
7,1353,1353,LEFT,PUNCH
8,1604,1604,RIGHT,PUNCH
9,1616,1616,LEFT,PUNCH
10,1625,1625,RIGHT,PUNCH
11,1909,1909,RIGHT,PUNCH
12,2026,2026,RIGHT,PUNCH
13,2232,2232,RIGHT,NO_PUNCH
14,2337,2337,RIGHT,NO_PUNCH
15,2360,2360,RIGHT,NO_PUNCH
16,2806,2806,RIGHT,NO_PUNCH
17,2824,2824,RIGHT,NO_PUNCH
18,3020,3020,RIGHT,NO_PUNCH
19,3161,3161,RIGHT,NO_PUNCH
20,3309,3309,RIGHT,NO_PUNCH
21,3453,3453,RIGHT,NO_PUNCH
22,3470,3470,RIGHT,NO_PUNCH
23,3724,3724,RIGHT,PUNCH
24,3876,3876,LEFT,PUNCH
25,4062,4062,RIGHT,PUNCH
