event_id,start_row,end_row,hand,label
1,1,1,LEFT,NO_PUNCH
2,1,1,RIGHT,NO_PUNCH
3,13,13,LEFT,PUNCH
4,83,83,LEFT,NO_PUNCH
5,125,125,LEFT,NO_PUNCH
6,152,152,LEFT,NO_PUNCH
7,179,179,LEFT,NO_PUNCH
8,194,194,LEFT,NO_PUNCH
9,225,225,LEFT,NO_PUNCH
10,252,252,LEFT,PUNCH
11,270,270,LEFT,NO_PUNCH
12,300,300,LEFT,NO_PUNCH
13,316,316,LEFT,NO_PUNCH
14,345,345,LEFT,NO_PUNCH
15,372,372,LEFT,NO_PUNCH
16,388,388,LEFT,NO_PUNCH
17,416,416,LEFT,NO_PUNCH
18,432,432,LEFT,NO_PUNCH
19,462,462,LEFT,NO_PUNCH
20,479,479,LEFT,NO_PUNCH
21,504,504,LEFT,NO_PUNCH
22,531,531,LEFT,NO_PUNCH
23,545,545,LEFT,NO_PUNCH
24,580,580,LEFT,NO_PUNCH
25,608,608,LEFT,NO_PUNCH
26,641,641,LEFT,NO_PUNCH
27,668,668,LEFT,NO_PUNCH
28,695,695,LEFT,NO_PUNCH
29,724,724,LEFT,NO_PUNCH
30,759,759,LEFT,NO_PUNCH
31,791,791,LEFT,NO_PUNCH
32,821,821,LEFT,NO_PUNCH
33,851,851,LEFT,NO_PUNCH
34,879,879,LEFT,NO_PUNCH
35,907,907,LEFT,NO_PUNCH
36,941,941,LEFT,NO_PUNCH
37,972,972,LEFT,NO_PUNCH
38,998,998,LEFT,NO_PUNCH
39,1029,1029,LEFT,NO_PUNCH
40,1061,1061,LEFT,NO_PUNCH
41,1093,1093,LEFT,NO_PUNCH
42,1128,1128,LEFT,NO_PUNCH
