event_id,start_row,end_row,hand,label
1,1,1,LEFT,NO_PUNCH
2,1,1,RIGHT,NO_PUNCH
3,1857,1857,LEFT,LEFT_PUNCH
4,2042,2042,RIGHT,RIGHT_PUNCH
5,2251,2251,RIGHT,NO_PUNCH
6,2348,2348,LEFT,LEFT_PUNCH
7,2416,2416,LEFT,LEFT_PUNCH
8,2483,2483,LEFT,LEFT_PUNCH
9,2546,2546,LEFT,LEFT_PUNCH
10,2835,2835,LEFT,LEFT_PUNCH
11,2976,2976,LEFT,LEFT_PUNCH
12,3108,3108,LEFT,LEFT_PUNCH
13,3234,3234,LEFT,LEFT_PUNCH
14,3306,3306,LEFT,LEFT_PUNCH
15,3327,3327,LEFT,LEFT_PUNCH
16,3411,3411,LEFT,LEFT_PUNCH
17,3435,3435,LEFT,LEFT_PUNCH
18,3459,3459,RIGHT,LEFT_PUNCH
19,3479,3479,RIGHT,LEFT_MISS
20,3522,3522,RIGHT,RIGHT_PUNCH
21,3540,3540,RIGHT,LEFT_PUNCH
22,3667,3667,RIGHT,NO_PUNCH
23,3697,3697,LEFT,NO_PUNCH
24,3702,3702,RIGHT,NO_PUNCH
25,3723,3723,RIGHT,NO_PUNCH
26,3743,3743,RIGHT,NO_PUNCH
27,3764,3764,RIGHT,NO_PUNCH
28,3868,3868,RIGHT,RIGHT_PUNCH
29,3953,3953,RIGHT,RIGHT_PUNCH
30,4036,4036,LEFT,LEFT_PUNCH
31,4097,4097,RIGHT,RIGHT_PUNCH
32,4248,4248,RIGHT,RIGHT_PUNCH
33,4390,4390,LEFT,LEFT_PUNCH
34,4635,4635,LEFT,LEFT_PUNCH
