event_id,start_row,end_row,hand,label
1,1,1,LEFT,NO_PUNCH
2,1,1,RIGHT,NO_PUNCH
3,359,359,RIGHT,PUNCH
4,414,414,RIGHT,NO_PUNCH
5,423,423,RIGHT,NO_PUNCH
6,462,462,RIGHT,NO_PUNCH
7,735,735,RIGHT,PUNCH
8,832,832,RIGHT,PUNCH
9,861,861,RIGHT,PUNCH
10,896,896,RIGHT,NO_PUNCH
11,909,909,RIGHT,NO_PUNCH
12,919,919,RIGHT,NO_PUNCH
13,978,978,RIGHT,NO_PUNCH
14,993,993,RIGHT,NO_PUNCH
15,1005,1005,RIGHT,NO_PUNCH
16,1172,1172,RIGHT,NO_PUNCH
17,1299,1299,LEFT,NO_PUNCH
18,1323,1323,LEFT,NO_PUNCH
19,1347,1347,LEFT,NO_PUNCH
20,1467,1467,LEFT,NO_PUNCH
21,1548,1548,RIGHT,NO_PUNCH
22,1560,1560,RIGHT,NO_PUNCH
23,1660,1660,RIGHT,NO_PUNCH
24,1682,1682,RIGHT,NO_PUNCH
